age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,two_year_recid,protected,sex_Male,age_cat_Greater than 45,age_cat_Less than 25,race_Caucasian,c_charge_degree_M
34,0,0,0,0,1,1,True,False,False,False,False
24,0,0,1,4,1,1,True,False,True,False,False
23,0,1,0,1,0,1,True,False,True,False,False
41,0,0,0,14,1,0,True,False,False,True,False
39,0,0,0,0,0,0,False,False,False,True,True
21,0,0,0,1,1,0,True,False,True,True,False
27,0,0,0,0,0,0,True,False,False,True,False
23,0,0,0,3,1,1,True,False,True,False,True
37,0,0,0,0,0,0,False,False,False,True,True
41,0,0,0,0,0,1,True,False,False,False,False
47,0,0,0,1,1,0,False,True,False,True,False
31,0,0,0,7,1,1,True,False,False,False,False
25,0,0,0,3,0,1,True,False,False,False,False
31,0,0,0,6,1,0,True,False,False,True,False
31,0,0,0,5,1,0,True,False,False,True,False
64,0,0,0,13,1,1,True,True,False,False,False
21,0,0,0,1,1,1,True,False,True,False,False
27,0,0,0,0,1,0,True,False,False,True,True
21,0,0,0,0,0,0,False,False,True,True,False
43,0,0,0,1,0,0,True,False,False,True,True
27,0,0,0,8,1,1,True,False,False,False,False
36,0,0,0,3,0,0,False,False,False,True,False
26,0,0,1,5,1,1,True,False,False,False,False
33,0,0,0,0,1,1,True,False,False,False,False
30,0,0,0,9,1,0,True,False,False,True,False
32,0,0,0,4,1,1,True,False,False,False,False
55,0,0,0,0,0,0,True,True,False,True,False
26,0,0,2,6,0,0,True,False,False,True,True
33,0,0,0,4,1,0,False,False,False,True,True
24,0,0,0,1,1,0,True,False,True,True,True
34,2,1,3,21,1,1,True,False,False,False,False
29,0,0,0,0,0,0,True,False,False,True,True
21,0,0,0,2,0,1,False,False,True,False,False
51,0,0,0,2,0,1,True,True,False,False,True
29,0,0,0,2,1,0,True,False,False,True,True
51,0,0,0,7,0,1,False,True,False,False,False
29,0,0,0,0,1,1,True,False,False,False,False
25,0,0,0,9,1,0,True,False,False,True,True
35,1,0,4,13,1,1,True,False,False,False,False
49,0,0,0,0,0,0,True,True,False,True,True
34,0,0,0,4,1,1,True,False,False,False,True
29,0,0,0,0,0,1,True,False,False,False,False
29,0,0,0,1,1,0,True,False,False,True,False
48,0,0,0,20,1,0,True,True,False,True,False
31,0,0,1,15,0,1,True,False,False,False,False
24,0,0,0,2,1,1,True,False,True,False,False
49,0,0,0,4,0,1,True,True,False,False,True
53,0,0,0,8,0,0,True,True,False,True,False
35,0,0,0,5,0,1,True,False,False,False,False
63,0,0,0,10,1,1,True,True,False,False,True
27,1,1,2,15,1,1,True,False,False,False,False
38,0,0,0,4,1,0,True,False,False,True,True
22,0,0,1,1,1,1,True,False,True,False,False
22,0,1,2,2,1,1,True,False,True,False,False
29,0,0,0,4,1,1,True,False,False,False,False
27,0,1,0,6,1,1,True,False,False,False,False
56,0,0,0,0,0,1,False,True,False,False,True
39,0,0,0,1,0,1,True,False,False,False,True
29,0,0,0,5,1,1,True,False,False,False,False
27,0,0,1,1,1,0,True,False,False,True,False
40,0,0,0,2,0,1,True,False,False,False,False
22,0,0,0,1,1,1,True,False,True,False,True
22,0,0,0,0,0,0,True,False,True,True,False
26,0,0,0,1,1,1,False,False,False,False,False
27,0,0,0,1,1,0,True,False,False,True,False
32,0,0,0,0,0,1,True,False,False,False,False
41,0,0,0,1,0,1,True,False,False,False,True
30,0,0,0,8,1,1,True,False,False,False,True
25,1,6,1,14,1,1,True,False,False,False,False
22,1,0,0,2,1,1,True,False,True,False,False
23,0,0,1,2,1,1,True,False,True,False,True
35,0,0,0,1,0,1,False,False,False,False,True
36,0,0,0,9,1,1,True,False,False,False,False
26,0,0,0,7,1,0,True,False,False,True,False
25,0,0,0,9,1,0,True,False,False,True,False
71,0,0,0,12,0,1,True,True,False,False,True
20,0,0,0,0,0,0,False,False,True,True,False
39,0,0,0,2,1,0,True,False,False,True,False
66,0,0,0,3,0,0,True,True,False,True,False
54,0,0,0,0,0,0,False,True,False,True,True
19,0,0,0,1,1,1,True,False,True,False,True
24,0,0,0,1,0,1,True,False,True,False,False
30,0,0,0,1,0,1,True,False,False,False,False
39,0,0,0,0,1,0,False,False,False,True,False
24,0,1,2,8,1,0,True,False,True,True,False
30,0,0,0,0,0,0,True,False,False,True,False
31,0,0,0,0,0,0,True,False,False,True,True
